Date,0P00006G05,DRAM,GLD,NEE,P52.SI,QQQ,SPY,TLT,ULG.SI,XOM
2024-06-10,2.5899999141693115,,213.5399932861328,72.63670349121094,0.4253346920013428,459.7804870605469,522.9332885742188,83.40235137939453,,105.89432525634766
2024-06-11,2.5920000076293945,,214.14999389648438,68.64484405517578,0.4253346920013428,462.9358215332031,524.1927490234375,84.26493072509766,,105.04215240478516
2024-06-12,2.6059999465942383,,214.72000122070312,68.19186401367188,0.42995786666870117,468.999267578125,528.4979858398438,84.89806365966797,,103.88095092773438
2024-06-13,2.611999988555908,,212.97000122070312,69.06007385253906,0.42995786666870117,471.54132080078125,529.56201171875,86.14602661132812,,103.0475082397461
2024-06-14,2.5829999446868896,,215.72999572753906,68.94682312011719,0.42995786666870117,473.9844665527344,529.8843383789062,86.8709487915039,,102.17660522460938
2024-06-17,,,214.61000061035156,68.23905181884766,,479.7907409667969,534.1015014648438,86.00839233398438,,101.47425842285156
2024-06-18,2.5899999141693115,,215.47000122070312,66.47432708740234,0.42995786666870117,479.9390869140625,535.4586181640625,86.79753875732422,,102.42943572998047
2024-06-19,,,,,0.4484506845474243,,,,,
2024-06-20,2.6029999256134033,,218.16000366210938,68.38060760498047,0.4576970934867859,476.2397766113281,534.0039672851562,86.21945190429688,,104.63946533203125
2024-06-21,2.6019999980926514,,214.77999877929688,68.71090698242188,0.4623202681541443,474.9637756347656,533.2880249023438,86.21945190429688,,103.72174835205078
2024-06-24,2.615999937057495,,215.6300048828125,69.69234466552734,0.48081305623054504,469.5564270019531,531.5545043945312,86.56816101074219,,106.80268859863281
2024-06-25,2.614000082015991,,214.55999755859375,68.871337890625,0.47156673669815063,474.9260559082031,533.6014404296875,86.71497344970703,,107.10236358642578
2024-06-26,2.6110000610351562,,212.5800018310547,69.23937225341797,0.47618985176086426,475.90692138671875,534.2673950195312,85.47618103027344,,107.13980865478516
2024-06-27,2.621999979019165,,214.99000549316406,69.56966400146484,0.4900594651699066,477.1353759765625,535.1097412109375,85.81568908691406,,107.59868621826172
2024-06-28,2.609999895095825,,215.00999450683594,66.82350158691406,0.4854362905025482,474.6585998535156,533.0040283203125,84.21903228759766,,107.80469512939453
2024-07-01,2.5980000495910645,,215.57000732421875,65.9647216796875,0.48081305623054504,477.4425048828125,534.1009521484375,82.76551055908203,,107.65486145019531
2024-07-02,2.6080000400543213,,215.55999755859375,66.50263977050781,0.4900594651699066,482.45550537109375,537.6953125,83.4098892211914,,106.92442321777344
