date,portfolio_return,equity
2024-12-09,-0.0048023362044786,0.9951976637955214
2024-12-10,-0.004134746949066126,0.9910827732914251
2024-12-11,0.008939229153078468,0.9999422893115458
2024-12-12,-0.003474378474463117,0.9964681113458564
2024-12-13,0.0014019532675948465,0.9978651130706119
2024-12-16,0.005828394918713452,1.0036810650251942
2024-12-17,-0.0040282711673681835,0.9996379655297198
2024-12-18,-0.026724834562887802,0.9729228062781564
2024-12-19,-0.004708645393622035,0.968341657788025
2024-12-20,0.004678055759595419,0.9728716140574963
2024-12-23,0.004834276540374826,0.9775747444781311
2024-12-24,0.010684144824437764,0.988019294624848
2024-12-26,-0.0010179275748339878,0.9870135625403814
2024-12-27,-0.008347690175638448,0.9787742791211412
2024-12-30,-0.00793096811531413,0.9710116515213418
2024-12-31,-0.005778247680384152,0.9654009056983126
2025-01-02,-0.001881169934840295,0.9635848225394453
2025-01-03,0.011470822275312523,0.974637932785984
2025-01-06,0.009222250166343851,0.9836262876237446
2025-01-07,-0.01062545192232082,0.9731748137950677
2025-01-08,0.0034834569509073115,0.9765648263646299
2025-01-09,0.0029761982455389635,0.9794712768875115
2025-01-10,-0.006894428599710419,0.9727183821035432
2025-01-13,-0.005472248281902255,0.9673954256083024
2025-01-14,0.0046420829493758475,0.9718861554188228
2025-01-15,0.004960485005856071,0.9767071821201769
2025-01-16,0.008022741114439347,0.9845430509869407
2025-01-17,-0.005786102362163184,0.9788463841139738
2025-01-20,0.035714303279769245,1.0138052007405258
2025-01-21,0.006216565516970918,1.020107587192375
2025-01-22,-0.006918361540186397,1.013050114094291
2025-01-23,0.007360721178661599,1.0205068935241501
2025-01-24,0.010603536414549364,1.031327875530932
2025-01-27,-0.006450669462147377,1.0246751202987834
2025-01-28,0.007257462604204641,1.0321116616658106
2025-01-29,-0.0012801365776668274,1.0307904177754756
2025-01-30,0.00504850628238529,1.0359943696754377
2025-01-31,0.004850422097031274,1.0410193796585114
2025-02-03,-0.0045132040256019215,1.036321046803507
2025-02-04,0.018134823410224172,1.0551145459835871
2025-02-05,-0.0017935414612705682,1.053222154298976
2025-02-06,0.0018195424278941348,1.055138536694721
2025-02-07,-0.002894211213539795,1.052084742909981
2025-02-10,0.00751322336736604,1.0599892905848616
2025-02-11,-0.0027669005577837984,1.0570564056254974
2025-02-12,-0.00015348770797115252,1.0568941604606017
2025-02-13,0.004202072056034252,1.061335305878459
2025-02-14,-0.002563300509961082,1.058614784547661
2025-02-17,0.0,1.058614784547661
2025-02-18,0.015840569670667454,1.0753838457966867
2025-02-19,0.0003720563900775353,1.0757839492283015
2025-02-20,-0.0054695038702652354,1.069899944754428
2025-02-21,-0.00495829504732533,1.0645950651572185
2025-02-24,0.00028908495813769375,1.064902823577063
2025-02-25,-0.007642547042007915,1.0567642536527082
2025-02-26,-0.0021677557778093286,1.0544734468360701
2025-02-27,-0.005408493432470295,1.048770334124143
2025-02-28,0.0015938304996546693,1.050441896269803
2025-03-03,0.003326028399779431,1.0539356958491144
2025-03-04,0.002179610786741226,1.0562328654603186
2025-03-05,0.01354451858123647,1.0705390311326584
2025-03-06,-0.00404182401543666,1.066212100767164
2025-03-07,-0.006767379593725197,1.0589966387538494
2025-03-10,-0.0034865975160755704,1.0553043437036378
2025-03-11,-0.008349412240220639,1.0464931726991606
2025-03-12,0.006913426220748642,1.0537280260391335
2025-03-13,0.0033696930608005564,1.0572787660564487
2025-03-14,0.004204517148429435,1.0617241127590034
2025-03-17,0.00988248055533584,1.0722165806584756
2025-03-18,0.0063424890056570735,1.0790171025329853
2025-03-19,-9.294847162496156e-05,1.0789168095424477
2025-03-20,-0.0011417183470672962,1.0776849904260337
2025-03-21,-0.0005924678122382803,1.077046496757474
2025-03-24,-0.00639062807082121,1.0701634931817159
2025-03-25,0.003675566063495431,1.0740969497996464
2025-03-26,0.005482632452926868,1.0799858285942077
2025-03-27,0.017814035790225297,1.0992247347977209
2025-03-28,-0.0017000513319188983,1.0973559963232498
2025-03-31,0.004787740999448786,1.1026098526178376
2025-04-01,-0.001419134433058781,1.1010451010097577
2025-04-02,-0.00457925185963807,1.0960031381834134
2025-04-03,-0.007344568885483405,1.0879534676363194
2025-04-04,-0.030560082496783693,1.0547055199126916
2025-04-07,-0.056091670502273,0.9955453254128203
2025-04-08,-0.006717338409424234,0.988857910560102
2025-04-09,0.021438485484434167,1.0100575265218128
2025-04-10,-0.0015723835961444776,1.0084693286359476
2025-04-11,0.012262610874741675,1.0208357955921223
2025-04-14,0.0007147513343179202,1.0215654393391413
2025-04-15,0.004387283257824004,1.0260473362879257
2025-04-16,0.019060220212550938,1.045604024466075
2025-04-17,-0.006611522553209015,1.0386909898765913
2025-04-21,0.006727830387148026,1.0456791266811398
2025-04-22,-0.004307103568786108,1.0411752783828063
2025-04-23,-0.0071327833453311285,1.0337488006975868
2025-04-24,0.012546196560223932,1.0467184163450345
2025-04-25,-0.0017376443763102434,1.0448995919752921
2025-04-28,0.010271018946701682,1.0556317754818711
2025-04-29,-0.0006772624670385308,1.0549168357013239
2025-04-30,-0.007787617584175288,1.0467015468017737
2025-05-01,-0.0129213726240901,1.0331767260893365
2025-05-02,-0.004538048010009177,1.028488120503519
2025-05-05,0.012141216615472517,1.0409752175609923
2025-05-06,0.01567412789550582,1.0572915962570955
2025-05-07,-0.005383024407635217,1.051600169788456
2025-05-08,-0.008987669045323592,1.0421487354943912
2025-05-09,-0.0029204732330312395,1.0391051680075425
2025-05-12,-0.009396856124496292,1.029340846245555
2025-05-13,0.017118030822941943,1.0469611345788996
2025-05-14,-0.0021266248422016076,1.0447346410212845
2025-05-15,0.013956378267338938,1.05931535286037
2025-05-16,-0.00853352885505576,1.0502756547301324
2025-05-19,0.006844678987053691,1.0574644544346778
2025-05-20,-0.00802293945644276,1.0489804811394081
2025-05-21,0.010714476662891048,1.0602197580244046
2025-05-22,-0.015864821443487515,1.0433995608724898
2025-05-23,0.024017208406882075,1.0684591055776136
2025-05-26,-0.00919542062095276,1.0586341746855403
2025-05-27,0.006614988343866275,1.0656370274115037
2025-05-28,0.0019714795817929267,1.067737909052648
2025-05-29,0.0015317715817955528,1.0693734396385406
2025-05-30,0.00021289515287185434,1.0696011040604496
2025-06-02,0.013241121513690276,1.0837638222504913
2025-06-03,0.0038035561763076764,1.087885978830271
2025-06-04,0.0020092932162265598,1.0900718607475628
2025-06-05,-0.00114256818413457,1.0888263793210522
2025-06-06,-0.00128154569759531,1.087430998559205
2025-06-09,0.008196568537815066,1.0963442012690403
2025-06-10,-0.003588318369554718,1.0924101692322719
2025-06-11,-0.0013088761517232963,1.0909803396138638
2025-06-12,0.0070916692313871535,1.0987172113203516
2025-06-13,-0.0015937523519355587,1.0969661281806977
2025-06-16,-0.004329364632944792,1.0922169618218138
2025-06-17,0.007238338461592978,1.100122797864973
2025-06-18,0.0014173147285288699,1.1016820181095774
2025-06-19,-0.002109695776671157,1.099357804208737
2025-06-20,0.002593050302907389,1.1022084942959443
2025-06-23,-0.010202725329603533,1.0909629637726868
2025-06-24,0.012075287396947743,1.1041366550996679
2025-06-25,-0.002977885663513276,1.100848662383887
2025-06-26,0.007551147280818848,1.10916133276744
2025-06-27,-0.0022150006029741194,1.1067045397465645
2025-06-30,0.02530564536006774,1.134710412347768
2025-07-01,0.01904707750991393,1.1563233295230624
2025-07-02,-0.004261098336229045,1.1513961221074889
2025-07-03,-0.0035621567683090287,1.147294668618119
2025-07-04,-0.001904754009630379,1.145109354497841
2025-07-07,-0.004044357286809704,1.1404781231357837
2025-07-08,0.0002631768996424292,1.1407782706323406
2025-07-09,0.0074584548348496735,1.14928671384043
2025-07-10,0.0017404715812131173,1.1512870147045349
2025-07-11,-0.0014969420801391,1.149563604725906
2025-07-14,0.005240278655181655,1.155587638346525
2025-07-15,0.001317994577866114,1.1571106965881146
2025-07-16,0.004041580330286528,1.1617872524194093
2025-07-17,0.008793471318853625,1.1720033953021691
2025-07-18,0.00262478255248703,1.1750796493656137
2025-07-21,-0.0003128033218716686,1.1747120805478284
2025-07-22,0.0003639240301236042,1.1751395865024163
2025-07-23,0.009144841216803219,1.1858860514285607
2025-07-24,0.0018599785925618542,1.1880917740974357
2025-07-25,0.003247400890517597,1.1919499843826564
2025-07-28,-0.0011094283415591009,1.1906276012882613
2025-07-29,-0.004596009120070113,1.1851554659741332
2025-07-30,-0.002962292036801576,1.1816446893749062
2025-07-31,-0.006848250686425509,1.1735524903197834
2025-08-01,-0.01244204383627545,1.1589510987910545
2025-08-04,0.016914400958139154,1.1785540623668824
2025-08-05,0.00031319806281523055,1.1789231832161389
2025-08-06,0.015166615698305389,1.196803458073801
2025-08-07,0.0034749466968388245,1.2009622862971998
2025-08-08,-0.006785086996072572,1.192813652705671
2025-08-11,0.0008401162425292581,1.1938157548296198
2025-08-12,0.020955941181733197,1.2188332875696557
2025-08-13,0.01683371232533437,1.2393507765051448
2025-08-14,-0.024051118445613213,1.2095430041837567
2025-08-15,0.019646907244142343,1.2333067833947562
2025-08-18,-0.010455585500690959,1.2204118388723901
2025-08-19,-0.004671188875176702,1.2147110646675154
2025-08-20,0.020508564607988555,1.2396230450172878
2025-08-21,0.018161065328251604,1.2621359201202529
2025-08-22,0.00426195933163224,1.2675150920827976
2025-08-25,0.0031727531240060745,1.271536604550928
2025-08-26,-0.009530790280825336,1.2594178558385603
2025-08-27,0.006357148676716697,1.2674241623942377
2025-08-28,0.007838266994388388,1.2773585713742228
2025-08-29,-0.0018337192387345436,1.2750162543871315
2025-09-01,-0.00833334687693928,1.2643911016655875
2025-09-02,-0.0017333766725131279,1.2621994356250272
2025-09-03,-0.006655889349018581,1.2537983758451132
2025-09-04,0.011426511227533648,1.2681249170637707
2025-09-05,-0.013579519209682514,1.2509043903922263
2025-09-08,0.007065348012207003,1.259742465240345
2025-09-09,-0.0003735935924392697,1.2592718335272075
2025-09-10,0.007686538275339346,1.268951274674671
2025-09-11,0.020879827771579665,1.2954467587404044
2025-09-12,-0.0009523664960472779,1.294213018649967
2025-09-15,0.006012576520756003,1.3019945734587584
2025-09-16,-0.0003794121469125429,1.3015005809023739
2025-09-17,-0.003865942985211331,1.296469053861386
2025-09-18,-0.007817512421807466,1.2863338909283355
2025-09-19,0.0016111217566741423,1.2884063314463574
2025-09-22,-0.004638894318125622,1.282429550635974
2025-09-23,-0.0052760784162836,1.2756633517634592
2025-09-24,0.0006166016636426721,1.2764499279084045
2025-09-25,-0.001562044245011644,1.2744560566444696
2025-09-26,-0.01005960198934619,1.2616355359617146
2025-09-29,-0.0068196761171733416,1.2530315902285394
2025-09-30,-0.006399656115062399,1.245012618949767
2025-10-01,0.012654025708709105,1.2607670406376246
2025-10-02,0.0058514350538437405,1.2681443370939423
2025-10-03,-0.00025176916989270515,1.2678250574468881
2025-10-06,0.004779190530069218,1.2738842349552226
2025-10-07,0.0006703593455426038,1.2747381951572643
2025-10-08,0.007229238771066034,1.2839535819406538
2025-10-09,-0.003561139999559574,1.2793812434824272
2025-10-10,-0.024851458637637713,1.247586753428254
2025-10-13,0.011179030583601665,1.261533563900525
2025-10-14,-0.006315979282084383,1.2535657440472752
2025-10-15,0.003758981177586921,1.2582778740840166
2025-10-16,-0.005113665589607389,1.2518434618171488
2025-10-17,-0.0030486734043437824,1.2480269999487053
2025-10-20,0.00766709156718659,1.2575957372356332
2025-10-21,0.006742726505322112,1.266075361346072
2025-10-22,-0.004944309277098583,1.2598154931914627
2025-10-23,0.004778790036827685,1.2658358869185673
2025-10-24,0.011950810738677726,1.2809636520293572
2025-10-27,0.01573088144165354,1.3011143393704985
2025-10-28,0.0017418210873444415,1.30338064776386
2025-10-29,0.0015181286578357007,1.3053593472772989
2025-10-30,-0.011980418780200766,1.2897205956382674
2025-10-31,0.003928965544624925,1.294787863420723
2025-11-03,0.0032277576060846984,1.2989671247951453
2025-11-04,-0.014734117068165518,1.2798279911107153
2025-11-05,0.0031066332287998932,1.283803947275048
2025-11-06,-0.00637082131842274,1.275625061719073
