Date,DRAM_return_1d,DRAM_return_5d,DRAM_ma20,DRAM_ma50,DRAM_vol20,NEE_return_1d,NEE_return_5d,NEE_ma20,NEE_ma50,NEE_vol20,P52.SI_return_1d,P52.SI_return_5d,P52.SI_ma20,P52.SI_ma50,P52.SI_vol20,ULG.SI_return_1d,ULG.SI_return_5d,ULG.SI_ma20,ULG.SI_ma50,ULG.SI_vol20,XOM_return_1d,XOM_return_5d,XOM_ma20,XOM_ma50,XOM_vol20
2024-09-13,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.014258441506694863,0.05838961183999891,76.41254768371581,73.06725631713867,0.009550315082574529,0.0,-0.009708640807565394,0.4797158852219582,0.48166870772838594,0.013901373004582263,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.0007191942989356326,-0.013227804787257491,108.47909736633301,108.68928131103516,0.01590776980742135
2024-09-16,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.00011813920784098375,0.04249289598607642,76.68802375793457,73.31409469604492,0.009491746256993658,0.0,0.0,0.4805129900574684,0.48115537226200106,0.013655998934693284,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.014034963979865811,-0.019998276919306,108.20439491271972,108.71620254516601,0.016309960223242003
2024-09-17,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.0038988646856794595,0.03244249477739869,76.99663009643555,73.56701309204101,0.00929046724964949,0.0,-0.009708640807565394,0.48131009489297866,0.4806420367956161,0.013655998934693284,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.013042330333899788,0.03031929797590327,108.18551483154297,108.79410125732421,0.014916778907160685
2024-09-18,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.00812062256404722,0.010188097432328735,77.24132537841797,73.79210220336914,0.009611347708981456,0.0,-0.009708640807565394,0.4817789807915688,0.48022116601467135,0.01334214753866449,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.0035032771599536883,0.04429459269693958,108.21997032165527,108.86119735717773,0.014860506555183782
2024-09-19,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.023611676734794695,-0.014018601641189954,77.42548828125,73.94541549682617,0.011035067765048428,0.01960783214071049,0.01960783214071049,0.4820134252309799,0.4799878489971161,0.01231956139571474,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.012393065390845948,0.042884049065356145,108.27991371154785,108.93019348144531,0.015016920119705875
2024-09-20,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.005711589383255111,-0.022327171590794226,77.59705390930176,74.08312088012696,0.010944464244940047,0.0,0.01960783214071049,0.48224786967039107,0.47975453197956086,0.01231956139571474,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.006293049031479536,0.03706698127098451,108.2303539276123,108.98503280639649,0.014758434492468482
2024-09-23,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.024891290232222918,0.0021267569945251363,77.82020988464356,74.35489517211914,0.01187316254763667,0.0,0.01960783214071049,0.4829511970281601,0.4797061437368393,0.011392981500977482,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,0.018131257100352016,0.04125631447128253,108.1619140625,109.0429963684082,0.01452058407247618
2024-09-24,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.006248733377653304,-0.008002928271804377,78.06679496765136,74.59904830932618,0.011503175683845158,0.0,0.01960783214071049,0.48342008143663406,0.4797502189874649,0.011223785660645528,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.002641467646996798,0.02513571102412171,108.13217735290527,109.0795620727539,0.014377082547294317
2024-09-25,0.0,0.0,27.760000228881836,27.760000228881836,0.0,0.003915245069469053,0.004034367512104842,78.33849029541015,74.86834426879882,0.011423315622175441,0.0,0.01960783214071049,0.48365452587604524,0.47951690196990965,0.011032952532356926,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.019478776698078515,0.001658235007076847,108.04957809448243,109.0431150817871,0.014870799046115787
2024-09-26,0.0,0.0,27.760000228881836,27.760000228881836,0.0,-0.01370853089903723,0.014217916955151733,78.52584114074708,75.10107147216797,0.012001571734734203,0.009615348768845289,0.009615348768845289,0.4843578517436981,0.4794698244333267,0.010933791322810993,0.0,0.0,1.5199999809265137,1.5199999809265137,0.0,-0.017164730215157298,-0.027586146833862624,107.79800376892089,108.94774887084961,0.014898015842082658
